item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm,recommend_reason.type,recommend_reason.name,recommend_reason.details,recommend_reason
0,,100374,1114488384604439,110000,北京市,https://image1.ljcdn.com/hdic-resblock/de4c5a9d-9f86-485b-b15b-b8f9d6a3d7d3.jpg,184,198,房山,房山,23008616,611100696,良乡,1114488384604439,3,建面 184-198㎡,184-198㎡,建面,精装修,116.163263,39.726111,3/4居,天恒水岸壹号,天恒水岸壹号,绿湾星苑,良乡大学城西站地铁南侧400米，刺猬河旁,良乡大学城西站地铁南侧400米，刺猬河旁,0,58000,良乡大学城西站地铁南侧400米，刺猬河旁,thsayhafsmo,[],[],"[{'bedroom_count': '3', 'area_range': '184-191㎡'}, {'bedroom_count': '4', 'area_range': '189-198㎡'}]","['公交直达', '环线房', '现房', '车位充足']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '3', 'desc': '车位充足', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2018-07-31,0,10000000,1000,万/套,总价,217天,2019-04-01 17:01:28,2,,2,0,总价1000万/套,101,"[{'id': 'img_3288468', 'image_id': '3288468', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/de4c5a9d-9f86-485b-b15b-b8f9d6a3d7d3.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/de4c5a9d-9f86-485b-b15b-b8f9d6a3d7d3.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/de4c5a9d-9f86-485b-b15b-b8f9d6a3d7d3.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/de4c5a9d-9f86-485b-b15b-b8f9d6a3d7d3.jpg!m_fill,w_1440,l_rorate_logo'}]",58000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,1100,万/套起,57591,元/平起,2018-08-31 09:58:02,房山刺猬河旁 生态宜居别墅在售,0,1,[],[],243849977766428678,"{""fb_query_id"":""243849977724485632"",""fb_expo_id"":""243849977766428678"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100374""}",,/loupan/p_thsayhafsmo/,[],,[],,4,楼盘亮点,房山刺猬河旁 生态宜居别墅在售,
0,,100690,1111046250457,110000,北京市,https://image1.ljcdn.com/hdic-resblock/93e7d0c3-acb1-4954-815b-01600674109d.jpg,170,170,密云,密云,23008621,611100401,密云其它,1111046250457,3,建面 170㎡,170㎡,建面,毛坯,116.840279,40.455648,4居,观唐云鼎,观唐云鼎,观唐云鼎小区,密溪路39号院,密溪路39号院,30000,30000,密溪路39号院,gtydafsys,[],[],"[{'bedroom_count': '4', 'area_range': '170㎡'}]","['旅游地产', '私属庭院', '公交直达', '环线房']","[{'id': '30', 'desc': '旅游地产', 'color': ''}, {'id': '35', 'desc': '私属庭院', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-06-30,0,4600000,460,万/套,总价,38天,2019-09-27 17:44:41,2,,2,0,总价460万/套,101,"[{'id': 'img_2774023', 'image_id': '2774023', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/93e7d0c3-acb1-4954-815b-01600674109d.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/93e7d0c3-acb1-4954-815b-01600674109d.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/93e7d0c3-acb1-4954-815b-01600674109d.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/93e7d0c3-acb1-4954-815b-01600674109d.jpg!m_fill,w_1440,l_rorate_logo'}]",30000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,460,万/套起,27058,元/平起,2018-09-14 11:51:54,170平米低密四居500万/套,0,1,[],[],243849977766428679,"{""fb_query_id"":""243849977724485632"",""fb_expo_id"":""243849977766428679"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100690""}",,/loupan/p_gtydafsys/,[],,[],,4,楼盘亮点,170平米低密四居500万/套,
0,,10667,118688547409279,110000,北京市,https://image1.ljcdn.com/hdic-resblock/75c52369-4d18-4052-b404-f8c52358d535.jpg,139,166,房山,房山,23008616,611100697,长阳,118688547409279,3,建面 139-166㎡,139-166㎡,建面,毛坯,116.200453,39.725154,3居,万年广阳郡九号,万年广阳郡九号,"万年长安府, 广阳郡九号",长阳清苑南街与汇商东路交汇处西北角,房山长阳清苑南街与汇商东路交汇处西北角,58000,48500,长阳清苑南街与汇商东路交汇处西北角,wngyjjhaapuh,[],[],"[{'bedroom_count': '3', 'area_range': '139-166㎡'}]","['视频看房', '环线房', '现房', '低密居所']","[{'id': '89', 'desc': '视频看房', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}]",住宅,107500000003,在售,0,0,0,1,2018-02-10,0,8200000,48500,元/平,均价,40天,2019-09-25 10:59:50,2,,2,0,均价48500元/平,101,"[{'id': 'img_3153966', 'image_id': '3153966', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/75c52369-4d18-4052-b404-f8c52358d535.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/75c52369-4d18-4052-b404-f8c52358d535.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/75c52369-4d18-4052-b404-f8c52358d535.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/75c52369-4d18-4052-b404-f8c52358d535.jpg!m_fill,w_1440,l_rorate_logo'}]",48500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,680,万/套起,48920,元/平起,2019-09-24 19:00:42,一河五园 健康科技住宅,1,1,"[{'desc': '免费专车', 'color': 'FF984C', 'text_color': 'FFFFFF'}]","[{'desc': '免费专车', 'color': 'FF984C', 'text_color': 'FFFFFF'}]",243849977766428680,"{""fb_query_id"":""243849977724485632"",""fb_expo_id"":""243849977766428680"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""10667""}",,/loupan/p_wngyjjhaapuh/,[],,[],,4,楼盘亮点,一河五园 健康科技住宅,
0,,10985,119640283484673,110000,北京市,https://image1.ljcdn.com/hdic-resblock/362eab05-3f5f-4bb6-928b-66e2cdd12572.jpg,236,236,丰台,丰台,23008617,18335676,方庄,119640283484673,3,建面 236㎡,236㎡,建面,毛坯,116.449343,39.867298,4居,首开璞瑅公馆,首开璞瑅公馆,首开璞瑅二期,紫芳园五区,丰台东二环左安门桥龙潭湖向东800米路东,110000,106000,紫芳园五区,skptggaaqgn,[],[],"[{'bedroom_count': '4', 'area_range': '236㎡'}]","['环线房', '现房', '车位充足']","[{'id': '23', 'desc': '环线房', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '3', 'desc': '车位充足', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2015-12-31,0,25000000,106000,元/平,均价,48天,2019-09-17 16:54:09,2,,2,0,均价106000元/平,,"[{'id': 'img_3154406', 'image_id': '3154406', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/b1b35569-2dea-403d-9c4c-c1a572f2d43e.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/b1b35569-2dea-403d-9c4c-c1a572f2d43e.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/b1b35569-2dea-403d-9c4c-c1a572f2d43e.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/b1b35569-2dea-403d-9c4c-c1a572f2d43e.jpg!m_fill,w_1440,l_rorate_logo'}]",106000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,2500,万/套起,105932,元/平起,2019-09-25 15:25:00,,0,1,[],[],243849977766428681,"{""fb_query_id"":""243849977724485632"",""fb_expo_id"":""243849977766428681"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""10985""}",,/loupan/p_skptggaaqgn/,[],,[],,,,,
0,,640853,1120043808057555,110000,北京市,https://image1.ljcdn.com/newhouse-user-image/00877db0c5f13e9ab7a2d66e1e992757.jpg,89,136,大兴,大兴,23008615,611100611,黄村中,1120043808057555,3,建面 89-136㎡,89-136㎡,建面,,116.328508,39.746921,3/4居,金地旭辉·江山风华,金地旭辉·江山风华,江山风华,地铁4号线清源路站西侧800米,北京市大兴区清源路地铁站西行800米江山风华售楼处,0,55800,地铁4号线清源路站西侧800米,jdxhjsfhbkmaf,[],[],"[{'bedroom_count': '3', 'area_range': '89㎡'}, {'bedroom_count': '4', 'area_range': '136㎡'}]","['明星户型', '品牌房企', '贴心物业', '环线房']","[{'id': '96', 'desc': '明星户型', 'color': ''}, {'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-09-24,0,0,55800,元/平,均价,36天,2019-09-29 17:18:15,2,,2,0,均价55800元/平,10;17,"[{'id': 'img_5613275', 'image_id': '5613275', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/00877db0c5f13e9ab7a2d66e1e992757.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/00877db0c5f13e9ab7a2d66e1e992757.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/00877db0c5f13e9ab7a2d66e1e992757.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/00877db0c5f13e9ab7a2d66e1e992757.jpg!m_fill,w_1440,l_rorate_logo'}]",55800,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,480,万/套起,51470,元/平起,2019-09-29 17:21:03,大兴新城绿色生态住宅,0,1,[],[],243849978840776704,"{""fb_query_id"":""243849978815610880"",""fb_expo_id"":""243849978840776704"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""640853""}",,/loupan/p_jdxhjsfhbkmaf/,[],,[],,4,楼盘亮点,大兴新城绿色生态住宅,
0,,619657,1120035973485976,110000,北京市,https://image1.ljcdn.com/newhouse-user-image/c76a290cd96fcf583c97db7a809eab87.jpg,84,131,大兴,大兴,23008615,611100611,黄村中,1120035973485976,3,建面 84-131㎡,84-131㎡,建面,毛坯,116.327706,39.748598,2/3/4居,招商雍合府,招商雍合府,雍德尚苑,兴业大街与清源西路交汇处西南角（地铁4号线清源路站西侧800米）,南二环福宜街北侧时代国际中心首层,55800,55800,兴业大街与清源西路交汇处西南角（地铁4号线清源路站西侧800米）,zsyhfbjgqz,[],[],"[{'bedroom_count': '2', 'area_range': '84-88㎡'}, {'bedroom_count': '3', 'area_range': '118㎡'}, {'bedroom_count': '4', 'area_range': '131㎡'}]","['限竞房', '特价好房', '品牌房企', '贴心物业']","[{'id': '82', 'desc': '限竞房', 'color': ''}, {'id': '99', 'desc': '特价好房', 'color': ''}, {'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '29', 'desc': '贴心物业', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-12-12,0,4400000,55800,元/平,均价,122天,2019-07-05 17:56:58,2,距4号线大兴线清源路站977米,2,0,均价55800元/平,14,"[{'id': 'img_4656783', 'image_id': '4656783', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/8ac821b9ad563897f2716a3b18edd88a.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/8ac821b9ad563897f2716a3b18edd88a.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/8ac821b9ad563897f2716a3b18edd88a.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/8ac821b9ad563897f2716a3b18edd88a.jpg!m_fill,w_1440,l_rorate_logo'}]",55800,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,440,万/套起,52272,元/平起,2019-06-26 10:39:14,清源路地铁西侧800米住宅在售,0,1,[],[],243849978840776705,"{""fb_query_id"":""243849978815610880"",""fb_expo_id"":""243849978840776705"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""619657""}",,/loupan/p_zsyhfbjgqz/,[],,[],,4,楼盘亮点,清源路地铁西侧800米住宅在售,
0,,641990,1120044240129231,110000,北京市,https://image1.ljcdn.com/newhouse-user-image/58b0d4ff8634e4a8745eb68161fbe764.jpg,82,139,大兴,大兴,23008615,611100395,大兴其它,1120044240129231,3,建面 82-139㎡,82-139㎡,建面,毛坯,116.498439,39.758062,2/3/4居,金隅学府,金隅学府,金亦家园,兴海路金隅学府,景园北街2号51-1号贵派大厦一楼,0,52695,兴海路金隅学府,jyxfbknry,[],[],"[{'bedroom_count': '2', 'area_range': '82㎡'}, {'bedroom_count': '3', 'area_range': '89㎡'}, {'bedroom_count': '4', 'area_range': '139㎡'}]","['刚需优选', '新盘首开', '品牌房企', '贴心物业']","[{'id': '98', 'desc': '刚需优选', 'color': ''}, {'id': '11', 'desc': '新盘首开', 'color': ''}, {'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '29', 'desc': '贴心物业', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-10-19,0,4320000,52695,元/平,均价,18天,2019-10-17 18:30:54,2,,2,0,均价52695元/平,66,"[{'id': 'img_5653667', 'image_id': '5653667', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/58b0d4ff8634e4a8745eb68161fbe764.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/58b0d4ff8634e4a8745eb68161fbe764.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/58b0d4ff8634e4a8745eb68161fbe764.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/58b0d4ff8634e4a8745eb68161fbe764.jpg!m_fill,w_1440,l_rorate_logo'}]",52695,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,432,万/套起,52661,元/平起,2019-10-21 11:34:34,,0,1,[],[],243849978840776706,"{""fb_query_id"":""243849978815610880"",""fb_expo_id"":""243849978840776706"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""641990""}",,/loupan/p_jyxfbknry/,[],,[],,,,,
0,,631569,1120040308194830,110000,北京市,https://image1.ljcdn.com/newhouse-user-image/17b8b274fc8693546e692f0cc1c6ea13.jpg,67,139,房山,房山,23008616,611100396,房山其它,1120040308194830,3,建面 67-139㎡,67-139㎡,建面,精装修,116.10039,39.776027,1/3/4居,金地·大湖风华,金地·大湖风华,"金地大湖风华, 大湖风华",北京市房山区青龙湖水上乐园东南角,北京市大苑村收费站出口(良坨路桥)左行250米右转,0,37245,北京市房山区青龙湖水上乐园东南角,jdhfhbjyhd,[],[],"[{'bedroom_count': '1', 'area_range': '67㎡'}, {'bedroom_count': '3', 'area_range': '89㎡'}, {'bedroom_count': '4', 'area_range': '139㎡'}]","['限竞房', '刚需优选', '特价好房', '品牌房企']","[{'id': '82', 'desc': '限竞房', 'color': ''}, {'id': '98', 'desc': '刚需优选', 'color': ''}, {'id': '99', 'desc': '特价好房', 'color': ''}, {'id': '13', 'desc': '品牌房企', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-07-06,0,3300000,330,万/套,总价,119天,2019-07-08 10:13:58,2,,2,0,总价330万/套,10,"[{'id': 'img_5328533', 'image_id': '5328533', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/17b8b274fc8693546e692f0cc1c6ea13.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/17b8b274fc8693546e692f0cc1c6ea13.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/17b8b274fc8693546e692f0cc1c6ea13.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/17b8b274fc8693546e692f0cc1c6ea13.jpg!m_fill,w_1440,l_rorate_logo'}]",37245,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,265,万/套起,33146,元/平起,2019-07-12 18:02:08,6000亩水域青龙湖畔低密洋房,1,1,"[{'desc': '免费专车', 'color': 'FF984C', 'text_color': 'FFFFFF'}]","[{'desc': '免费专车', 'color': 'FF984C', 'text_color': 'FFFFFF'}]",243849978840776707,"{""fb_query_id"":""243849978815610880"",""fb_expo_id"":""243849978840776707"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""631569""}",,/loupan/p_jdhfhbjyhd/,[],,[],,4,楼盘亮点,6000亩水域青龙湖畔低密洋房,
0,,2286,1111063590534,110000,北京市,https://image1.ljcdn.com/hdic-resblock/8ca0a81e-b73d-4367-8f53-7a828fa44032.jpg,70,170,昌平,昌平,23008611,611100800,东关,1111063590534,3,建面 70-170㎡,70-170㎡,建面,毛坯,116.269667,40.236596,2/3/4居,北京怡园,北京怡园,富松小区,水库路与昌崔路交汇处向北1公里路东,昌平区水库路与昌崔路交汇处向北1公里路东,0,46000,水库路与昌崔路交汇处向北1公里路东,bjyyaadjy,[],[],"[{'bedroom_count': '3', 'area_range': '95-123㎡'}, {'bedroom_count': '4', 'area_range': '157-170㎡'}]","['特价好房', '地铁沿线', '环线房', '现房']","[{'id': '99', 'desc': '特价好房', 'color': ''}, {'id': '1', 'desc': '地铁沿线', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2016-12-30,0,4080000,46000,元/平,均价,39天,2019-09-26 12:16:56,2,距昌平线北邵洼站0米,2,0,均价46000元/平,101,"[{'id': 'img_2782981', 'image_id': '2782981', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/644a3d4d-1116-4382-92cc-6eced4e431a4.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/644a3d4d-1116-4382-92cc-6eced4e431a4.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/644a3d4d-1116-4382-92cc-6eced4e431a4.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/644a3d4d-1116-4382-92cc-6eced4e431a4.jpg!m_fill,w_1440,l_rorate_logo'}]",46000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,430,万/套起,45263,元/平起,2019-06-28 16:03:07,现房销售，自然环境优美,1,1,"[{'desc': '免费专车', 'color': 'FF984C', 'text_color': 'FFFFFF'}]","[{'desc': '免费专车', 'color': 'FF984C', 'text_color': 'FFFFFF'}]",243849978840776708,"{""fb_query_id"":""243849978815610880"",""fb_expo_id"":""243849978840776708"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""2286""}",,/loupan/p_bjyyaadjy/,[],,[],,4,楼盘亮点,现房销售，自然环境优美,
0,,10560,118526053258043,110000,北京市,https://image1.ljcdn.com/newhouse-user-image/777be4daa7b3ab5a69437312a88b1249.jpg,100,140,通州,通州,23008625,611100366,北关,118526053258043,3,建面 100-140㎡,100-140㎡,建面,精装修,116.658301,39.956566,2/3居,运河铭著,运河铭著,"新地国际家园,新地国际",商通大道与榆东一街交叉口，温榆河森林公园东500米,永顺镇榆东一街，项目北门对面,48000,46000,商通大道与榆东一街交叉口，温榆河森林公园东500米,xdgjjyaapqe,[],[],"[{'bedroom_count': '2', 'area_range': '100㎡'}, {'bedroom_count': '3', 'area_range': '140㎡'}]","['特价好房', '环线房', '现房', '大型社区']","[{'id': '99', 'desc': '特价好房', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-04-99,0,5600000,46000,元/平,均价,21天,2019-10-14 12:20:04,2,,2,0,均价46000元/平,101,"[{'id': 'img_5470752', 'image_id': '5470752', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/777be4daa7b3ab5a69437312a88b1249.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/777be4daa7b3ab5a69437312a88b1249.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/777be4daa7b3ab5a69437312a88b1249.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/777be4daa7b3ab5a69437312a88b1249.jpg!m_fill,w_1440,l_rorate_logo'}]",46000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,460,万/套起,46000,元/平起,2019-08-02 17:50:19,运河商务区非毛坯现房,0,1,[],[],243849978840776709,"{""fb_query_id"":""243849978815610880"",""fb_expo_id"":""243849978840776709"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""10560""}",,/loupan/p_xdgjjyaapqe/,[],,[],,4,楼盘亮点,运河商务区非毛坯现房,
0,,100374,1114488384604439,110000,北京市,https://image1.ljcdn.com/hdic-resblock/de4c5a9d-9f86-485b-b15b-b8f9d6a3d7d3.jpg,184,198,房山,房山,23008616,611100696,良乡,1114488384604439,3,建面 184-198㎡,184-198㎡,建面,精装修,116.163263,39.726111,3/4居,天恒水岸壹号,天恒水岸壹号,绿湾星苑,良乡大学城西站地铁南侧400米，刺猬河旁,良乡大学城西站地铁南侧400米，刺猬河旁,0,58000,良乡大学城西站地铁南侧400米，刺猬河旁,thsayhafsmo,[],[],"[{'bedroom_count': '3', 'area_range': '184-191㎡'}, {'bedroom_count': '4', 'area_range': '189-198㎡'}]","['公交直达', '环线房', '现房', '车位充足']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '23', 'desc': '环线房', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '3', 'desc': '车位充足', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2018-07-31,0,10000000,1000,万/套,总价,217天,2019-04-01 17:01:28,2,,2,0,总价1000万/套,101,"[{'id': 'img_3288468', 'image_id': '3288468', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/de4c5a9d-9f86-485b-b15b-b8f9d6a3d7d3.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/de4c5a9d-9f86-485b-b15b-b8f9d6a3d7d3.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/de4c5a9d-9f86-485b-b15b-b8f9d6a3d7d3.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/de4c5a9d-9f86-485b-b15b-b8f9d6a3d7d3.jpg!m_fill,w_1440,l_rorate_logo'}]",58000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,1100,万/套起,57591,元/平起,2018-08-31 09:58:02,房山刺猬河旁 生态宜居别墅在售,0,1,[],[],243849978840776710,"{""fb_query_id"":""243849978815610880"",""fb_expo_id"":""243849978840776710"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""100374""}",,/loupan/p_thsayhafsmo/,[],,[],,4,楼盘亮点,房山刺猬河旁 生态宜居别墅在售,
